goos: darwin
goarch: arm64
pkg: github.com/eluv-io/common-go/format/structured
cpu: Apple M4 Max
BenchmarkClone_MapStringAny_Small-14        	 9573662	       111.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	10959574	       108.0 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	11226853	       107.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	11021881	       108.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	10660578	       108.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	11402746	       107.2 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	11180409	       112.6 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	10816226	       110.0 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	11208427	       109.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Small-14        	10921675	       108.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	11013808	       108.1 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	11266926	       107.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	11080702	       111.1 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	10986709	       109.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	11048604	       108.0 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	10971273	       109.6 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	10780770	       109.8 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	10897725	       108.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	10999288	       109.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkCloneMap_MapStringAny_Small-14     	10903118	       110.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  623379	      1927 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  606225	      1970 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  625689	      1945 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  617248	      1940 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  620112	      1943 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  607455	      1980 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  617476	      1949 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  627366	      1955 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  607917	      1983 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Large-14        	  617558	      2061 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  535858	      2104 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  566287	      2083 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  590396	      2132 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  561255	      2088 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  568714	      2103 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  583503	      2076 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  587907	      2100 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  577479	      2093 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  572220	      2100 ns/op	    4952 B/op	       4 allocs/op
BenchmarkCloneMap_MapStringAny_Large-14     	  583273	      2073 ns/op	    4952 B/op	       4 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3628790	       326.2 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3683096	       331.9 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3568088	       331.0 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3677526	       329.3 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3671780	       326.1 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3683629	       325.8 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3704764	       329.3 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3561158	       326.8 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3679950	       327.5 ns/op	    1112 B/op	       8 allocs/op
BenchmarkClone_MapStringAny_Nested-14       	 3665683	       326.4 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3722595	       329.5 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3713211	       327.4 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3543670	       321.3 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3700262	       322.1 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3707647	       320.8 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3755166	       320.3 ns/op	    1112 B/op	       8 allocs/op
BenchmarkCloneMap_MapStringAny_Nested-14    	 3763140	       319.1 ns/op	    1112 B/op	       8 allocs/op
